Name,G,Att,Yds,Y/A,TD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,OPPG,SOS,OL RNK,FantPt
DeMarco Murray,16,392,1845,4.71,13,64,57,416,7.3,0,6,29.2,-0.3,1,294
Le'Veon Bell,16,290,1361,4.69,8,105,83,854,10.29,3,0,27.2,-1,6,288
Marshawn Lynch,16,280,1306,4.66,13,48,37,367,9.92,4,4,24.6,1.6,4,265
Matt Forte,16,266,1038,3.9,6,130,102,808,7.92,4,2,19.9,0.5,15,245
Arian Foster,13,260,1246,4.79,8,59,38,327,8.61,5,2,23.2,-1.8,23,236
Eddie Lacy,16,246,1139,4.63,9,55,42,427,10.17,4,3,30.4,1,8,231
Jamaal Charles,15,206,1033,5.01,9,59,40,291,7.28,5,5,22.1,0.7,7,210
Justin Forsett,16,235,1266,5.39,8,59,44,263,5.98,0,2,25.6,0.2,3,205
Lamar Miller,16,216,1099,5.09,8,52,38,275,7.24,1,3,24.2,0.1,9,185
Jeremy Hill,16,222,1124,5.06,9,32,27,215,7.96,0,5,22.8,0.6,11,184
C.J. Anderson,15,179,849,4.74,8,44,34,324,9.53,2,1,30.1,1,12,177
LeSean McCoy,16,312,1319,4.23,5,37,28,155,5.54,0,4,21.4,0.6,26,171
Alfred Morris,16,265,1074,4.05,8,26,17,155,9.12,0,2,18.8,-0.5,19,171
Joique Bell,15,223,860,3.86,7,53,34,322,9.47,1,5,20.1,0.1,21,166
Mark Ingram,13,226,964,4.27,9,36,29,145,5,0,3,25.1,-0.3,2,163
Devonta Freeman,15,265,1056,3.98,11,97,73,578,7.92,3,3,21.2,-2.3,15,243
Adrian Peterson,16,327,1485,4.54,11,36,30,222,7.4,0,7,22.8,1.3,10,231
Doug Martin,16,288,1402,4.87,6,44,33,271,8.21,1,5,21.4,-2.2,9,199
DeAngelo Williams,16,200,907,4.54,11,47,40,367,9.18,0,4,26.4,2.5,8,191
Todd Gurley,13,229,1106,4.83,10,26,21,188,8.95,0,3,17.5,0.8,24,189
Lamar Miller,16,194,872,4.49,8,57,47,397,8.45,2,1,19.4,-0.5,28,185
David Johnson,16,125,581,4.65,8,57,36,457,12.69,4,4,30.6,1.4,3,174
Matt Forte,13,218,898,4.12,4,58,44,389,8.84,3,2,20.9,1,7,173
Chris Ivory,15,247,1070,4.33,7,37,30,217,7.23,1,4,24.2,-1.4,26,173
Latavius Murray,16,266,1066,4.01,6,53,41,232,5.66,0,4,22.4,1.3,19,164
Danny Woodhead,16,98,336,3.43,3,106,80,755,9.44,6,0,20,1,31,163
Frank Gore,16,260,967,3.72,6,58,34,267,7.85,1,4,20.8,-1.2,27,159
Jeremy Hill,16,223,794,3.56,11,19,15,79,5.27,1,3,26.2,1.2,1,157
Darren McFadden,16,239,1089,4.56,3,53,40,328,8.2,0,3,17.2,0,6,156
Mark Ingram,12,166,769,4.63,6,60,50,405,8.1,0,2,25.5,-1.9,13,153
David Johnson,16,293,1239,4.23,16,120,80,879,10.99,4,5,26.1,-0.4,7,328
Ezekiel Elliott,15,322,1631,5.07,15,39,32,363,11.34,1,5,26.3,-0.6,4,293
LeSean McCoy,15,234,1267,5.41,13,57,50,356,7.12,1,3,24.9,-0.4,16,248
DeMarco Murray,16,293,1287,4.39,9,67,53,377,7.11,3,3,23.8,-1.2,5,243
Le'Veon Bell,12,261,1268,4.86,7,94,75,616,8.21,2,4,24.9,1.2,3,242
Devonta Freeman,16,227,1079,4.75,11,65,54,462,8.56,2,1,33.8,1.3,10,232
LeGarrette Blount,16,299,1161,3.88,18,8,7,38,5.43,0,1,27.6,-0.2,9,226
Melvin Gordon,13,254,997,3.93,10,57,41,419,10.22,2,2,25.6,0.4,23,210
Jordan Howard,15,252,1313,5.21,6,50,29,298,10.28,1,2,17.4,-1,8,201
Mark Ingram,16,205,1043,5.09,6,58,46,319,6.93,4,2,29.3,0.7,1,198
Jay Ajayi,15,260,1272,4.89,8,35,27,151,5.59,0,4,22.7,0.1,22,188
Frank Gore,16,263,1025,3.9,4,47,38,277,7.29,4,2,25.7,-0.9,2,176
Latavius Murray,14,195,788,4.04,12,43,33,264,8,0,2,26,1.2,11,175
Isaiah Crowell,16,198,952,4.81,7,53,40,319,7.98,0,2,16.5,0.1,28,165
Carlos Hyde,13,217,988,4.55,6,33,27,163,6.04,3,5,19.3,-0.3,32,165
Todd Gurley,15,279,1305,4.68,13,87,64,788,12.31,6,5,29.9,0.4,3,319
Le'Veon Bell,15,321,1291,4.02,9,106,85,655,7.71,2,3,25.4,-0.1,7,259
Kareem Hunt,16,272,1327,4.88,8,63,53,455,8.58,3,1,25.9,-0.4,12,242
Alvin Kamara,16,120,728,6.07,8,100,81,826,10.2,5,1,28,0.9,2,233
Melvin Gordon,16,284,1105,3.89,8,83,58,476,8.21,4,1,22.2,-0.4,26,230
Mark Ingram,16,230,1124,4.89,12,71,58,416,7.17,0,3,28,0.9,2,220
LeSean McCoy,16,287,1138,3.97,6,77,59,448,7.59,2,3,18.9,-0.2,27,205
Leonard Fournette,13,268,1040,3.88,9,48,36,302,8.39,1,2,26.1,-0.4,13,194
Ezekiel Elliott,10,242,983,4.06,7,38,26,269,10.35,2,1,22.1,0.5,4,177
Jordan Howard,16,276,1122,4.07,9,32,23,125,5.43,0,1,16.5,1,28,177
Carlos Hyde,16,240,938,3.91,8,88,59,350,5.93,0,2,20.7,0,10,175
Dion Lewis,16,180,896,4.98,6,35,32,214,6.69,3,0,28.6,-0.3,1,165
Devonta Freeman,14,196,865,4.41,7,47,36,317,8.81,1,4,20.7,1.7,8,164
Lamar Miller,16,238,888,3.73,3,45,36,327,9.08,3,1,21.1,-0.2,20,158
Christian McCaffrey,16,117,435,3.72,2,113,80,651,8.14,5,2,22.7,1.2,25,149
